seq,price,qty,side
1092,97,2,B
1093,98,1,B
1094,98,4,S
1095,98,1,S
1096,98,7,S
1097,99,2,B
1098,99,2,B
1099,99,3,B
1100,99,4,B
1101,98,1,S
1102,97,6,S
1103,96,3,S
1104,98,8,B
1105,98,1,B
1106,98,4,B
1107,96,1,S
1108,96,5,S
1109,96,2,S
1110,96,1,S
1111,96,6,S
1112,96,1,S
1113,96,2,S
1114,96,7,S
1115,96,3,S
1116,97,5,B
1117,97,5,B
1118,97,4,B
1119,98,7,B
1120,97,3,S
1121,97,3,S
1122,98,1,B
1123,98,3,S
1124,98,2,S
1125,98,1,S
1126,97,2,S
1127,99,4,B
1128,99,1,B
1129,99,2,B
1130,99,1,B
1131,98,3,S
1132,98,5,S
1133,98,1,S
1134,98,1,S
1135,98,6,S
1136,99,3,B
1137,99,6,B
1138,98,3,S
1139,99,1,B
1140,99,4,S
1141,99,2,S
1142,98,6,S
1143,98,2,B
1144,99,1,B
1145,99,7,S
1146,98,3,S
1147,100,8,B
1148,100,2,B
1149,99,10,S
1150,100,1,B
1151,100,2,B
1152,100,3,B
1153,100,6,B
1154,100,2,B
1155,101,3,B
1156,98,5,S
1157,98,5,S
1158,100,7,S
1159,100,2,S
1160,100,5,S
1161,98,6,S
1162,99,8,S
1163,100,1,B
1164,100,2,B
1165,99,2,S
1166,99,1,S
1167,98,3,S
1168,98,2,S
1169,98,2,S
1170,98,3,S
1171,100,6,B
1172,100,1,B
1173,98,6,S
1174,98,4,S
1175,98,2,S
1176,98,5,S
1177,100,4,B
1178,100,3,B
1179,99,5,S
1180,98,2,S
1181,98,3,S
1182,98,4,S
1183,98,2,S
1184,98,1,S
1185,98,1,S
1186,97,1,S
1187,97,3,S
1188,97,2,S
1189,97,5,S
1190,99,4,B
1191,99,2,B
1192,98,2,S
1193,97,3,S
1194,98,8,B
1195,97,2,S
1196,98,1,B
1197,97,2,S
1198,97,7,S
1199,98,2,B
1200,97,2,S
1201,97,1,S
1202,97,4,S
1203,98,3,B
1204,99,2,B
1205,97,1,S
1206,96,2,S
1207,96,4,S
1208,96,4,S
1209,96,2,S
1210,96,4,S
1211,96,5,S
1212,96,1,S
1213,96,2,S
1214,96,2,S
1215,96,6,S
1216,96,2,S
1217,96,3,S
1218,96,3,S
1219,96,1,S
1220,96,9,S
1221,96,4,S
1222,96,4,S
1223,97,3,B
1224,98,3,B
1225,96,1,S
1226,97,4,S
1227,98,1,B
1228,97,1,S
1229,97,4,S
1230,97,1,S
1231,96,3,S
1232,96,6,S
1233,97,2,S
1234,96,8,S
1235,98,7,B
1236,98,1,B
1237,98,1,B
1238,98,7,B
1239,98,1,B
1240,96,2,S
1241,96,1,S
1242,98,6,B
1243,98,1,B
1244,98,1,B
1245,96,7,S
1246,97,1,B
1247,97,4,B
1248,97,1,B
1249,98,1,B
1250,98,4,B
1251,98,4,B
1252,98,1,B
1253,98,1,B
1254,98,6,B
1255,96,4,S
1256,98,1,B
1257,98,1,B
1258,99,1,B
1259,99,4,B
1260,99,4,B
1261,99,2,B
1262,98,2,S
1263,98,5,S
1264,96,3,S
1265,96,1,S
1266,96,1,S
1267,96,2,S
1268,96,2,S
1269,96,3,S
1270,96,2,S
1271,96,5,S
1272,97,5,B
1273,99,6,B
1274,99,2,B
1275,99,1,B
1276,99,4,B
1277,99,1,B
1278,99,1,B
1279,98,6,S
1280,98,2,S
1281,98,2,S
1282,97,1,S
1283,96,1,S
1284,96,1,S
1285,96,3,S
1286,96,1,S
1287,96,3,S
1288,96,6,S
1289,96,3,S
1290,97,3,B
1291,97,3,B
1292,96,1,S
1293,96,3,S
1294,96,1,S
1295,96,3,S
1296,96,5,S
1297,96,1,S
1298,96,4,S
1299,97,1,B
1300,97,4,B
1301,97,4,S
1302,96,4,S
1303,96,3,S
1304,96,2,S
1305,97,5,B
1306,97,1,S
1307,97,4,S
1308,96,1,S
1309,97,4,S
1310,97,3,S
1311,97,6,B
1312,98,3,B
1313,96,2,S
1314,98,4,B
1315,97,7,B
1316,96,2,S
1317,96,5,S
1318,96,2,S
1319,96,1,S
1320,96,4,S
1321,96,2,S
1322,96,3,S
1323,96,2,S
1324,95,2,S
1325,95,5,S
1326,95,1,S
1327,96,4,B
1328,96,1,B
1329,96,2,B
1330,95,1,S
1331,95,8,S
1332,96,1,B
1333,95,1,S
1334,95,2,S
1335,96,1,B
1336,96,2,B
1337,97,3,B
1338,97,3,B
1339,96,2,B
1340,97,1,B
1341,97,1,S
1342,97,3,B
1343,98,2,B
1344,98,1,B
1345,96,2,S
1346,96,3,B
1347,97,2,B
1348,95,2,S
1349,95,3,S
1350,95,4,S
1351,95,5,S
1352,95,2,S
1353,95,3,S
1354,95,1,S
1355,96,5,B
1356,95,2,S
1357,95,5,S
1358,95,2,S
1359,96,5,B
1360,96,5,B
1361,96,2,B
1362,95,2,S
1363,95,5,S
1364,95,2,S
1365,95,5,S
1366,96,4,B
1367,95,4,S
1368,95,3,S
1369,95,3,S
1370,95,1,S
1371,95,1,S
1372,96,2,B
1373,95,2,S
1374,95,3,S
1375,96,1,B
1376,96,1,B
1377,96,2,B
1378,95,3,S
1379,95,3,S
1380,95,1,S
1381,95,4,S
1382,96,5,B
1383,96,4,B
1384,96,1,B
1385,96,5,B
1386,96,6,B
1387,96,2,S
1388,95,3,S
1389,95,1,S
1390,95,6,S
1391,95,2,S
1392,95,4,S
1393,96,3,B
1394,96,5,B
1395,97,6,B
1396,97,3,B
1397,96,2,S
1398,95,1,S
1399,95,3,S
1400,95,7,S
1401,96,3,S
1402,95,1,S
1403,95,6,S
1404,95,2,S
1405,95,2,S
1406,97,3,B
1407,95,5,S
1408,96,2,B
1409,96,2,B
1410,97,6,B
1411,97,2,B
1412,97,8,B
1413,96,8,S
1414,96,2,S
1415,97,1,B
1416,96,7,S
1417,95,1,S
1418,95,5,S
1419,95,1,S
1420,95,8,S
1421,95,2,S
1422,95,2,S
1423,95,4,S
1424,95,2,S
1425,96,1,B
1426,95,2,S
1427,96,1,B
1428,97,6,B
1429,95,4,S
1430,95,4,S
1431,97,2,B
1432,97,2,B
1433,98,3,B
1434,98,3,B
1435,98,1,B
1436,98,7,B
1437,98,2,B
1438,98,2,B
1439,97,2,S
1440,96,4,B
1441,96,2,B
1442,95,1,S
1443,95,4,S
1444,96,1,B
1445,96,2,B
1446,97,7,B
1447,95,2,S
1448,95,3,S
1449,97,1,B
1450,97,3,B
1451,96,1,S
1452,96,2,S
1453,96,3,S
1454,96,7,S
1455,96,1,S
1456,97,1,B
1457,96,8,S
1458,96,1,S
1459,95,4,S
1460,95,1,S
1461,95,3,S
1462,95,1,S
1463,95,5,S
1464,96,1,B
1465,97,4,B
1466,97,1,B
1467,95,1,S
1468,97,6,B
1469,95,3,S
1470,96,1,S
1471,98,3,B
1472,98,2,B
1473,98,1,B
1474,97,4,S
1475,98,2,B
1476,97,1,S
1477,98,1,B
1478,97,4,S
1479,96,3,S
1480,98,7,B
1481,98,1,B
1482,98,2,B
1483,97,3,B
1484,96,1,S
1485,96,5,S
1486,95,4,S
1487,95,4,S
1488,95,2,S
1489,95,5,S
1490,95,1,S
1491,95,2,S
1492,95,2,S
1493,96,1,B
1494,97,3,B
1495,97,1,S
1496,97,4,B
1497,96,5,S
1498,96,3,B
1499,96,5,S
1500,95,1,S
1501,97,2,B
1502,97,1,B
1503,96,3,B
1504,95,4,S
1505,95,2,S
1506,96,4,B
1507,95,3,S
1508,95,3,S
1509,95,4,S
1510,95,4,S
1511,95,3,S
1512,96,1,B
1513,96,6,B
1514,95,2,S
1515,95,6,S
1516,95,2,S
1517,94,3,S
1518,94,3,S
1519,94,3,S
1520,94,1,S
1521,94,2,S
1522,94,5,S
1523,94,2,S
1524,94,4,S
1525,94,2,S
1526,94,7,S
1527,94,3,S
1528,94,2,S
1529,94,5,S
1530,94,3,S
1531,94,2,S
1532,94,5,S
1533,94,2,S
1534,94,3,S
1535,95,2,B
1536,95,2,B
